연도,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,POS_EN
2024,94,전상현,KIA,투수,66,0,66.0,1,0,2,7,0,0.9,0,0,0,,P
2024,94,구승민,롯데,투수,66,0,57.66666666666666,0,0,1,7,0,1.0,0,0,0,,P
2024,94,김건희,키움,포수,66,49,431.6666666666667,4,0,267,24,0,0.986,3,42,9,17.6,C
2024,98,임정호,NC,투수,65,0,55.0,0,1,1,11,1,1.0,0,0,0,,P
2024,98,홍건희,두산,투수,65,0,59.333333333333336,1,1,1,12,1,0.929,0,0,0,,P
2024,98,홍종표,KIA,2루수,65,4,167.0,2,0,36,61,17,0.98,0,0,0,,2B
2024,98,황성빈,롯데,중견수,65,57,453.6666666666667,2,0,87,3,1,0.978,0,0,0,,CF
2024,98,김재윤,삼성,투수,65,0,66.0,0,0,1,10,0,1.0,0,0,0,,P
2024,98,김헌곤,삼성,좌익수,65,27,305.0,0,0,76,0,0,1.0,0,0,0,,LF
2024,98,박상원,한화,투수,65,0,66.66666666666667,1,1,2,3,0,0.833,0,0,0,,P
2024,98,주현상,한화,투수,65,0,71.33333333333333,0,0,2,10,1,1.0,0,0,0,,P
2024,98,고영우,키움,3루수,65,52,442.6666666666667,10,0,37,81,8,0.922,0,0,0,,3B
2024,107,오윤석,KT,2루수,64,47,422.0,2,0,76,140,26,0.991,0,0,0,,2B
2024,107,전민재,두산,유격수,64,43,395.0,4,0,74,102,20,0.978,0,0,0,,SS
2024,107,이민우,한화,투수,64,0,55.0,0,0,7,6,1,1.0,0,0,0,,P
2024,110,박병호,삼성,1루수,63,52,476.0,4,0,412,43,37,0.991,0,0,0,,1B
2024,110,도슨,키움,좌익수,63,57,495.0,2,0,132,0,0,0.985,0,0,0,,LF
2024,112,문성주,LG,좌익수,62,51,445.0,0,0,114,4,2,1.0,0,0,0,,LF
2024,112,유영찬,LG,투수,62,0,63.66666666666666,0,0,4,4,0,1.0,0,0,0,,P
2024,112,문승원,SSG,투수,62,0,60.0,0,0,2,9,1,1.0,0,0,0,,P
2024,112,이로운,SSG,투수,62,0,56.0,0,0,1,3,0,1.0,0,0,0,,P
2024,112,최인호,한화,좌익수,62,46,401.6666666666667,2,0,96,3,0,0.98,0,0,0,,LF
2024,117,김휘집,NC,3루수,61,48,434.6666666666667,7,0,37,84,9,0.945,0,0,0,,3B
2024,117,김호령,KIA,중견수,61,9,177.0,2,0,62,0,0,0.969,0,0,0,,CF
2024,117,윤동희,롯데,우익수,61,52,455.0,0,0,106,2,1,1.0,0,0,0,,RF
2024,120,김택연,두산,투수,60,0,65.0,0,0,1,6,0,1.0,0,0,0,,P
2024,120,이승현,삼성,투수,60,0,60.333333333333336,0,0,3,3,0,1.0,0,0,0,,P
2024,120,임창민,삼성,투수,60,0,54.333333333333336,1,0,1,4,0,0.833,0,0,0,,P
2024,123,이영하,두산,투수,59,1,65.33333333333333,2,0,4,6,0,0.833,0,0,0,,P
2024,124,허도환,LG,포수,58,27,250.0,2,1,219,8,1,0.991,2,33,0,0.0,C
2024,124,오승환,삼성,투수,58,0,55.0,0,0,1,5,0,1.0,0,0,0,,P
2024,124,김규연,한화,투수,58,1,59.0,0,0,1,12,0,1.0,0,0,0,,P
2024,124,이주형,키움,우익수,58,50,431.3333333333333,2,0,108,3,0,0.982,0,0,0,,RF
2024,128,구본혁,LG,3루수,57,21,247.0,3,0,21,55,8,0.962,0,0,0,,3B
2024,128,정준재,SSG,2루수,57,47,384.6666666666667,3,0,82,139,26,0.987,0,0,0,,2B
2024,128,도태훈,NC,1루수,57,17,215.66666666666663,1,0,172,20,15,0.995,0,0,0,,1B
2024,128,이용찬,NC,투수,57,0,54.333333333333336,1,2,2,11,1,0.929,0,0,0,,P
2024,128,박준영,두산,유격수,57,50,434.6666666666667,4,0,83,135,34,0.982,0,0,0,,SS
2024,128,한현희,롯데,투수,57,5,76.33333333333333,0,2,0,8,0,1.0,0,0,0,,P
2024,128,황성빈,롯데,좌익수,57,27,291.6666666666667,2,0,58,2,0,0.968,0,0,0,,LF
2024,128,김태진,키움,유격수,57,33,346.0,3,0,64,104,21,0.982,0,0,0,,SS
2024,136,이준영,KIA,투수,56,0,35.0,0,0,2,3,1,1.0,0,0,0,,P
2024,136,이창진,KIA,좌익수,56,33,309.3333333333333,0,0,85,0,0,1.0,0,0,0,,LF
2024,136,최지민,KIA,투수,56,0,46.0,1,0,2,4,1,0.857,0,0,0,,P
2024,136,김원중,롯데,투수,56,0,63.333333333333336,1,0,3,6,0,0.9,0,0,0,,P
2024,136,김태훈,삼성,투수,56,0,52.333333333333336,1,1,5,7,1,0.923,0,0,0,,P
2024,136,박수종,키움,중견수,56,23,253.33333333333331,4,0,84,0,0,0.955,0,0,0,,CF
2024,142,천성호,KT,2루수,55,49,403.3333333333333,4,0,73,116,27,0.979,0,0,0,,2B
2024,142,최지강,두산,투수,55,0,50.0,1,2,2,9,0,0.917,0,0,0,,P
2024,142,주승우,키움,투수,55,0,51.333333333333336,0,0,3,10,0,1.0,0,0,0,,P
2024,145,구본혁,LG,유격수,54,43,368.0,5,0,59,97,20,0.969,0,0,0,,SS
2024,145,박지환,SSG,2루수,54,46,406.6666666666667,7,0,113,129,40,0.972,0,0,0,,2B
2024,145,진해수,롯데,투수,54,0,27.666666666666668,0,0,4,7,0,1.0,0,0,0,,P
2024,145,페라자,한화,좌익수,54,42,349.3333333333333,2,0,75,3,0,0.975,0,0,0,,LF
2024,149,김유영,LG,투수,53,2,47.66666666666666,3,0,0,6,1,0.667,0,0,0,,P
2024,149,심우준,KT,유격수,53,49,431.6666666666667,8,0,93,126,28,0.965,0,0,0,,SS
2025,1,박해민,LG,중견수,144,136,1179.0,1,0,310,6,2,0.997,0,0,0,,CF
2025,2,노시환,한화,3루수,143,143,1262.3333333333333,17,0,99,218,17,0.949,0,0,0,,3B
2025,3,김주원,NC,유격수,140,139,1166.0,29,0,246,336,79,0.953,0,0,0,,SS
2025,4,이재현,삼성,유격수,136,132,1117.0,23,0,217,333,73,0.96,0,0,0,,SS
2025,4,최지훈,SSG,중견수,136,128,1136.0,5,0,249,3,1,0.981,0,0,0,,CF
2025,6,박찬호,KIA,유격수,134,131,1114.3333333333333,16,0,229,356,84,0.973,0,0,0,,SS
2025,7,케이브,두산,우익수,132,131,1127.3333333333333,2,0,228,6,0,0.992,0,0,0,,RF
2025,8,정수빈,두산,중견수,131,128,1077.3333333333333,3,0,262,4,2,0.989,0,0,0,,CF
2025,9,박동원,LG,포수,130,102,938.3333333333334,8,2,784,78,11,0.991,2,67,18,21.2,C
2025,9,신민재,LG,2루수,130,113,992.6666666666666,12,0,245,320,87,0.979,0,0,0,,2B
2025,9,김휘집,NC,3루수,130,119,1005.0,19,0,106,193,20,0.94,0,0,0,,3B
2025,12,디아즈,삼성,1루수,128,126,1085.3333333333333,4,0,1013,87,89,0.996,0,0,0,,1B
2025,13,박성한,SSG,유격수,127,124,1065.3333333333333,20,0,222,340,90,0.966,0,0,0,,SS
2025,14,강민호,삼성,포수,123,104,876.6666666666666,2,0,740,40,3,0.997,8,72,11,13.3,C
2025,14,오지환,LG,유격수,123,107,939.3333333333334,9,0,148,295,67,0.98,0,0,0,,SS
2025,14,고명준,SSG,1루수,123,120,986.0,3,0,850,81,91,0.997,0,0,0,,1B
2025,14,정준재,SSG,2루수,123,102,932.6666666666666,9,0,214,297,78,0.983,0,0,0,,2B
2025,14,김형준,NC,포수,123,107,906.0,4,1,782,78,8,0.995,6,47,26,35.6,C
2025,19,최재훈,한화,포수,121,107,813.0,5,1,856,68,8,0.995,8,58,18,23.7,C
2025,20,권동진,KT,유격수,119,81,740.3333333333334,15,0,150,236,40,0.963,0,0,0,,SS
2025,20,이주형,키움,중견수,119,110,967.0,1,0,328,2,0,0.997,0,0,0,,CF
2025,22,김영웅,삼성,3루수,118,114,964.3333333333334,11,0,81,207,23,0.963,0,0,0,,3B
2025,23,류지혁,삼성,2루수,113,100,811.3333333333334,4,0,184,254,58,0.991,0,0,0,,2B
2025,23,허경민,KT,3루수,113,110,936.3333333333334,10,0,75,161,10,0.959,0,0,0,,3B
2025,23,채은성,한화,1루수,113,112,929.6666666666666,6,0,816,31,59,0.993,0,0,0,,1B
2025,26,장성우,KT,포수,112,98,836.6666666666666,5,0,708,43,5,0.993,4,104,11,9.6,C
2025,27,송성문,키움,3루수,111,108,935.3333333333334,13,0,103,202,29,0.959,0,0,0,,3B
2025,28,어준서,키움,유격수,109,95,763.0,26,0,139,196,43,0.928,0,0,0,,SS
2025,29,황영묵,한화,2루수,107,61,627.6666666666666,6,0,118,187,35,0.981,0,0,0,,2B
2025,30,문현빈,한화,좌익수,105,104,876.3333333333334,3,0,137,8,0,0.98,0,0,0,,LF
